#JD Flux Flux_err
2458325.3286 1.0003318 0.00045
2458325.3494 0.99987710 0.00045
2458325.3702 0.99971960 0.00045
2458325.3911 0.99998686 0.00045
2458325.4119 0.99976340 0.00045
2458325.4327 0.99988486 0.00045
2458325.4536 1.0003640 0.00045
2458325.4744 0.99992395 0.00045
2458325.4952 1.0001547 0.00045
2458325.5161 1.0004041 0.00045
2458325.5369 0.99994671 0.00045
2458325.5577 0.99976063 0.00045
2458325.5786 0.99978644 0.00045
2458325.5994 0.99996977 0.00045
2458325.6203 0.99978461 0.00045
2458325.6411 1.0002866 0.00045
2458325.6619 0.99996912 0.00045
2458325.6828 1.0004343 0.00045
2458325.7036 0.99962326 0.00045
2458325.7244 1.0001281 0.00045
2458325.7453 0.99965048 0.00045
2458325.7661 1.0000889 0.00045
2458325.7869 0.99968030 0.00045
2458325.8078 1.0005922 0.00045
2458325.8286 1.0003343 0.00045
2458325.8494 0.99974583 0.00045
2458325.8703 0.99992243 0.00045
2458325.8911 0.99946617 0.00045
2458325.9119 1.0001655 0.00045
2458325.9328 1.0005481 0.00045
2458325.9536 0.99978793 0.00045
2458325.9744 1.0003453 0.00045
2458325.9953 0.99950197 0.00045
2458326.0161 1.0002483 0.00045
2458326.0369 1.0001917 0.00045
2458326.0578 1.0002573 0.00045
2458326.0786 0.99989622 0.00045
2458326.0994 0.99969122 0.00045
2458326.1203 0.99961581 0.00045
2458326.1411 0.99952777 0.00045
2458326.1619 1.0002600 0.00045
2458326.1828 1.0000095 0.00045
2458326.2036 1.0002722 0.00045
2458326.2244 1.0003545 0.00045
2458326.2453 1.0002021 0.00045
2458326.2661 0.99938891 0.00045
2458326.2869 1.0000591 0.00045
2458326.3078 1.0000241 0.00045
2458326.3286 0.99977841 0.00045
2458326.3494 0.99997607 0.00045
2458326.3703 0.99988001 0.00045
2458326.3911 0.99919457 0.00045
2458326.4119 1.0010271 0.00045
2458326.4328 1.0003527 0.00045
2458326.4536 1.0005498 0.00045
2458326.4744 0.99957370 0.00045
2458326.4953 0.99998628 0.00045
2458326.5161 0.99972709 0.00045
2458326.5369 0.99924859 0.00045
2458326.5578 1.0006086 0.00045
2458326.5786 1.0004721 0.00045
