#JD_UTC,rel_flux_T1,rel_flux_err_T1,AIRMASS
2457624.530660,0.110986,0.000249,1.520665
2457624.532431,0.109487,0.000243,1.534430
2457624.534201,0.111606,0.000243,1.548639
2457624.535972,0.111103,0.000241,1.563308
2457624.537743,0.111576,0.000241,1.578454
2457624.539514,0.111514,0.000242,1.594094
2457624.541285,0.110402,0.000239,1.610246
2457624.543067,0.111139,0.000241,1.627042
2457624.544838,0.112337,0.000242,1.644285
2457624.546609,0.111083,0.000240,1.662102
2457624.548391,0.109885,0.000238,1.680641
2457624.550162,0.111068,0.000241,1.699685
2457624.551933,0.111300,0.000241,1.719378
2457624.553704,0.110553,0.000237,1.739748
2457624.555475,0.110356,0.000237,1.760824
2457624.557245,0.110961,0.000238,1.782638
2457624.559028,0.111225,0.000238,1.805372
2457624.560799,0.110710,0.000238,1.828766
2457624.562569,0.109767,0.000238,1.853003
2457624.564340,0.109205,0.000237,1.878122
2457624.566111,0.109502,0.000236,1.904166
2457624.567882,0.111092,0.000239,1.931180
2457624.569653,0.110683,0.000238,1.959211
2457624.571424,0.109582,0.000237,1.988312
2457624.573194,0.110869,0.000239,2.018538
2457624.574965,0.110626,0.000236,2.049947
2457624.576748,0.109196,0.000234,2.082820
2457624.578519,0.109710,0.000234,2.116800
2457624.580289,0.109613,0.000234,2.152167
2457624.582060,0.109864,0.000234,2.189002
2457624.583831,0.109965,0.000235,2.227388
2457624.585602,0.110460,0.000235,2.267418
2457624.587373,0.110408,0.000235,2.309189
2457624.589144,0.109744,0.000234,2.352809
2457624.590914,0.109179,0.000235,2.398394
2457624.592685,0.109624,0.000234,2.446070
2457624.594456,0.109585,0.000235,2.495973
2457624.596227,0.108990,0.000236,2.548253
2457624.597998,0.109818,0.000234,2.603072
2457624.599769,0.109381,0.000235,2.660608
2457624.601551,0.109686,0.000235,2.721461
2457624.603322,0.109375,0.000235,2.785055
2457624.605093,0.109109,0.000238,2.852011
2457624.606863,0.109419,0.000234,2.922588
2457624.608646,0.108878,0.000237,2.997573
2457624.610417,0.109078,0.000236,3.076311
2457624.612188,0.108917,0.000238,3.159626
