#JD_UTC,rel_flux_T1,rel_flux_err_T1,AIRMASS
2457624.530660,0.291479,0.000712,1.520665
2457624.532431,0.290936,0.000702,1.534430
2457624.534201,0.290838,0.000689,1.548639
2457624.535972,0.291487,0.000687,1.563308
2457624.537743,0.290714,0.000682,1.578454
2457624.539514,0.291525,0.000685,1.594094
2457624.541285,0.291194,0.000683,1.610246
2457624.543067,0.291093,0.000682,1.627042
2457624.544838,0.290405,0.000677,1.644285
2457624.546609,0.291332,0.000681,1.662102
2457624.548391,0.291764,0.000686,1.680641
2457624.550162,0.290972,0.000684,1.699685
2457624.551933,0.291699,0.000683,1.719378
2457624.553704,0.291447,0.000678,1.739748
2457624.555475,0.291249,0.000677,1.760824
2457624.557245,0.291675,0.000677,1.782638
2457624.559028,0.290852,0.000674,1.805372
2457624.560799,0.291112,0.000677,1.828766
2457624.562569,0.291777,0.000687,1.853003
2457624.564340,0.291494,0.000686,1.878122
2457624.566111,0.291211,0.000680,1.904166
2457624.567882,0.291205,0.000678,1.931180
2457624.569653,0.291340,0.000679,1.959211
2457624.571424,0.291048,0.000682,1.988312
2457624.573194,0.291266,0.000681,2.018538
2457624.574965,0.291598,0.000675,2.049947
2457624.576748,0.290524,0.000676,2.082820
2457624.578519,0.291197,0.000673,2.116800
2457624.580289,0.291211,0.000673,2.152167
2457624.582060,0.292280,0.000674,2.189002
2457624.583831,0.291508,0.000676,2.227388
2457624.585602,0.291283,0.000672,2.267418
2457624.587373,0.290800,0.000669,2.309189
2457624.589144,0.291180,0.000673,2.352809
2457624.590914,0.290673,0.000679,2.398394
2457624.592685,0.290970,0.000673,2.446070
2457624.594456,0.291967,0.000679,2.495973
2457624.596227,0.290927,0.000681,2.548253
2457624.597998,0.291542,0.000674,2.603072
2457624.599769,0.290924,0.000678,2.660608
2457624.601551,0.291989,0.000678,2.721461
2457624.603322,0.291815,0.000680,2.785055
2457624.605093,0.290924,0.000688,2.852011
2457624.606863,0.291239,0.000675,2.922588
2457624.608646,0.290560,0.000684,2.997573
2457624.610417,0.291222,0.000682,3.076311
2457624.612188,0.290691,0.000687,3.159626
2457624.613958,0.290187,0.000669,3.247912
2457624.615729,0.289626,0.000672,3.341604
2457624.617500,0.290014,0.000671,3.441193
